year;artist;track;time
2000;2Ge+her;Hardest Part Of ...;03:15
2000;2 Pac;Baby Don't Cry;04:22
2000;3 Doors Down;Kryptonite;03:53
2000;3 Doors Down;Loser;04:24
2000;504 Boyz;Wobble Wobble;03:35
2000;98?;Me Just One Nig...;03:24
2000;Aaliyah;I Don't Wanna;04:15
2000;Aaliyah;Try Again;04:03
2000;Adams, Yolanda;Open My Heart;05:30
2000;Adkins, Trace;More;03:05
2000;Aguilera, Christina;Come On Over Baby;03:38
2000;Aguilera, Christina;I Turn To You;04:00
2000;Aguilera, Christina;What A Girl Wants;03:18
2000;Alice Deejay;Better Off Alone;06:50
2000;Allan, Gary;e Rings In The D...;04:18
2000;Amber;Sexual;04:38
2000;Anastacia;I'm Outta Love;04:01
2000;Anthony, Marc;My Baby You;03:59
2000;Anthony, Marc;You Sang To Me;03:50
2000;A*Teens;Dancing Queen;03:44
2000;Avant;My First Love;04:28
2000;Avant;Separated;04:13
2000;Backstreet Boys, The;Shape Of My Heart;03:49
2000;Backstreet Boys, The;Me The Meaning ...;03:54
2000;Backstreet Boys, The;The One;03:46
2000;Badu, Erkyah;Bag Lady;05:03
2000;Baha Men;ho Let The Dogs Out;03:17
2000;Barenaked Ladies;Pinch Me;03:46
2000;BBMak;Back Here;03:35
2000;Beenie Man;Girls Dem Sugar;04:17
2000;Thomas, Carl;Emotional;04:31
2000;Thomas, Carl;I Wish;03:50
2000;Thomas, Carl;Summer Rain;04:57
2000;Tippin, Aaron;Kiss This;02:53
2000;TLC;Dear Lie;04:36
2000;Train;Meet Virginia;03:55
2000;Trick Daddy;Shut Up;04:17
2000;Trina;Pull Over;02:58
2000;Tritt, Travis;Best Of Intentions;04:15
2000;Tuesday;I Know;04:06
2000;Urban, Keith;Your Everything;04:10
2000;Usher;Pop Ya Collar;03:36
2000;Vassar, Phil;Carlene;04:07
2000;Vassar, Phil;Another Day In ...;03:54
2000;Vertical Horizon;Everything You Want;04:01
2000;Vertical Horizon;You're A God;03:45
2000;Vitamin C;Graduation;04:23
2000;Vitamin C;The Itch;03:30
2000;Walker, Clay;Live, Laugh, Love;04:06
2000;Walker, Clay;The Chain Of Love;05:03
2000;Wallflowers, The;Sleepwalker;03:29
2000;Westlife;Swear It Again;04:07
2000;Williams, Robbie;Angels;03:56
2000;Wills, Mark;Back At One;04:00
2000;Worley, Darryl;You Need My Lov...;03:35
2000;Wright, Chely;It Was;03:51
2000;Yankee Grey;nother Nine Minutes;03:10
2000;Yearwood, Trisha;Real Live Woman;03:55
2000;Ying Yang Twins;tle While You Tw...;04:19
2000;Zombie Nation;Kernkraft 400;03:30
2000;Adams, Yolanda;Open My Heart;05:30
2000;Adkins, Trace;More;03:05
2000;Aguilera, Christina;Come On Over Baby;03:38
2000;Aguilera, Christina;I Turn To You;04:00
2000;Aguilera, Christina;What A Girl Wants;03:18
2000;Alice Deejay;Better Off Alone;06:50
2000;Vitamin C;The Itch;03:30
2000;Walker, Clay;Live, Laugh, Love;04:06
2000;Walker, Clay;The Chain Of Love;05:03
2000;Wallflowers, The;Sleepwalker;03:29
2000;Westlife;Swear It Again;04:07
2000;Avant;Separated;04:13
2000;Backstreet Boys, The;Shape Of My Heart;03:49
2000;Backstreet Boys, The;Me The Meaning ...;03:54
2000;Backstreet Boys, The;The One;03:46
2000;Badu, Erkyah;Bag Lady;05:03
2000;Baha Men;ho Let The Dogs Out;03:17
