initialCost;totalEstFee
75000.00;986.00
0.00;1144.00
30000.00;522.50
1500.00;225.00
19500.00;389.50
3062400.00;31762.40
10000.00;316.50
146800.00;1727.60
0.00;160.00
5000.00;265.00
21200.00;440.10
20000.00;419.50
37600.00;764.90
10000.00;316.50
3000.00;280.00
0.00;472.00
94000.00;1181.70
5000.00;265.00
7500.00;295.90
20000.00;207.25
1000.00;225.00
0.00;160.00
67000.00;1063.60
70000.00;934.50
0.00;440.00
11000.00;326.80
16000.00;378.30
41000.00;635.80
509500.00;5466.50
12238.00;347.40
3500.00;245.00
5000.00;265.00
0.00;157.00
30000.00;522.50
10000.00;316.50
344584.00;3767.00
9000.00;306.20
130000.00;1552.50
15000.00;368.00
0.00;180.00
120000.00;1664.50
0.00;539.44
19320.00;419.50
0.00;576.04
30000.00;522.50
25000.00;471.00
0.00;240.00
10000.00;476.50
0.00;160.00
40625.00;315.40
16108.00;191.80
0.00;621.04
0.00;230.00
0.00;170.00
85000.00;1089.00
10000.00;316.50
24000.00;460.70
0.00;180.00
10000.00;476.50
0.00;160.00
5000.00;265.00
24278.00;631.00
600000.00;6448.50
321520.00;3530.10
136000.00;1614.30
15000.00;368.00
32940.00;274.20
13200.00;357.70
0.00;240.00
7500.00;295.90
0.00;210.00
160000.00;1861.50
0.00;260.00
0.00;458.56
0.00;587.68
85000.00;1089.00
37800.00;604.90
0.00;200.00
6900.00;140.30
175000.00;2016.00
3000.00;225.00
19695.00;419.50
17500.00;398.90
42300.00;656.40
290000.00;3200.50
360000.00;3921.50
23920.00;460.70
12200.00;347.40
212300.00;3029.20
0.00;0.00
50000.00;728.50
5000.00;265.00
0.00;726.64
0.00;548.92
0.00;230.00
594000.00;6386.70
0.00;160.00
3000.00;130.00
13250.00;327.70
33750.00;563.70
173050.00;1000.35
17000.00;388.60
50000.00;586.59
47900.00;762.90
30000.00;522.50
49500.00;950.64
55700.00;790.30
600000.00;6448.50
90000.00;1140.50
51000.00;738.80
0.00;170.00
55000.00;780.00
0.00;0.00
5000.00;265.00
637600.00;6784.90
25000.00;471.00
0.00;450.00
8000.00;295.90
2000.00;225.00
0.00;160.00
105600.00;690.15
20000.00;419.50
113944.00;1387.70
43000.00;816.40
16000.00;186.65
28000.00;501.90
0.00;160.00
6600.00;285.60
54000.00;769.70
184033.00;2119.00
375000.00;4131.00
0.00;647.80
60000.00;573.25
32375.00;553.40
152250.00;1789.40
25000.00;233.00
42570.00;656.40
19764.00;207.25
20000.00;419.50
200000.00;2273.50
25000.00;471.00
252000.00;2809.10
51900.00;372.05
1500.00;225.00
229105.00;2582.50
26595.00;491.60
136523.00;1784.60
0.00;587.68
95000.00;1192.00
261700.00;2912.10
1066000.00;11193.30
0.00;599.20
38000.00;604.90
0.00;160.00
0.00;160.00
78470.00;1027.20
0.00;340.00
0.00;160.00
0.00;160.00
58050.00;821.20
9200.00;316.50
731555.00;7913.10
0.00;200.00
23500.00;460.70
10000.00;476.50
92700.00;1171.40
350000.00;3818.50
0.00;190.00
28000.00;501.90
0.00;200.00
0.00;170.00
18000.00;398.90
30000.00;522.50
73435.00;975.70
236220.00;2654.60
0.00;1807.88
502870.00;4361.34
0.00;160.00
187700.00;2149.90
8500.00;306.20
705000.00;7475.00
3000.00;225.00
3000.00;225.00
0.00;260.00
0.00;200.00
0.00;200.00
0.00;497.00
56000.00;790.30
42000.00;646.10
500000.00;5523.50
33368.00;563.70
19349.00;419.50
1221300.00;12800.10
16000.00;378.30
489000.00;5250.20
28900.00;512.20
500000.00;5363.50
0.00;6216.00
25000.00;471.00
70700.00;944.80
5600.00;275.30
29000.00;512.20
30000.00;320.31
0.00;160.00
5000.00;130.00
0.00;487.60
11000.00;326.80
0.00;160.00
0.00;130.00
0.00;180.00
0.00;160.00
344584.00;3767.00
