Ozone;Solar.R;Wind;Temp;Month;Day
41.0;190.0;7.4;67;5;1
36.0;118.0;8.0;72;5;2
12.0;149.0;12.6;74;5;3
18.0;313.0;11.5;62;5;4
NaN;NaN;14.3;56;5;5
28.0;NaN;14.9;66;5;6
23.0;299.0;8.6;65;5;7
19.0;99.0;13.8;59;5;8
8.0;19.0;20.1;61;5;9
NaN;194.0;8.6;69;5;10
7.0;NaN;6.9;74;5;11
16.0;256.0;9.7;69;5;12
11.0;290.0;9.2;66;5;13
14.0;274.0;10.9;68;5;14
18.0;65.0;13.2;58;5;15
14.0;334.0;11.5;64;5;16
34.0;307.0;12.0;66;5;17
6.0;78.0;18.4;57;5;18
30.0;322.0;11.5;68;5;19
11.0;44.0;9.7;62;5;20
1.0;8.0;9.7;59;5;21
11.0;320.0;16.6;73;5;22
4.0;25.0;9.7;61;5;23
32.0;92.0;12.0;61;5;24
NaN;66.0;16.6;57;5;25
NaN;266.0;14.9;58;5;26
NaN;NaN;8.0;57;5;27
23.0;13.0;12.0;67;5;28
45.0;252.0;14.9;81;5;29
115.0;223.0;5.7;79;5;30
96.0;167.0;6.9;91;9;1
78.0;197.0;5.1;92;9;2
73.0;183.0;2.8;93;9;3
91.0;189.0;4.6;93;9;4
47.0;95.0;7.4;87;9;5
32.0;92.0;15.5;84;9;6
20.0;252.0;10.9;80;9;7
23.0;220.0;10.3;78;9;8
21.0;230.0;10.9;75;9;9
24.0;259.0;9.7;73;9;10
44.0;236.0;14.9;81;9;11
21.0;259.0;15.5;76;9;12
28.0;238.0;6.3;77;9;13
9.0;24.0;10.9;71;9;14
13.0;112.0;11.5;71;9;15
46.0;237.0;6.9;78;9;16
18.0;224.0;13.8;67;9;17
13.0;27.0;10.3;76;9;18
24.0;238.0;10.3;68;9;19
16.0;201.0;8.0;82;9;20
13.0;238.0;12.6;64;9;21
23.0;14.0;9.2;71;9;22
36.0;139.0;10.3;81;9;23
7.0;49.0;10.3;69;9;24
14.0;20.0;16.6;63;9;25
30.0;193.0;6.9;70;9;26
NaN;145.0;13.2;77;9;27
14.0;191.0;14.3;75;9;28
18.0;131.0;8.0;76;9;29
20.0;223.0;11.5;68;9;30
