total_bill;tip;sex;smoker;day;time;size;total_bill2;tip2
16.99;1.01;Female;No;Sun;Dinner;2;$16.99;$1.01
10.34;1.66;Male;No;Sun;Dinner;3;$10.34;$1.66
21.01;3.5;Male;No;Sun;Dinner;3;$21.01;$3.5
23.68;3.31;Male;No;Sun;Dinner;2;$23.68;$3.31
24.59;3.61;Female;No;Sun;Dinner;4;$24.59;$3.61
25.29;4.71;Male;No;Sun;Dinner;4;$25.29;$4.71
8.77;2.0;Male;No;Sun;Dinner;2;$8.77;$2.0
26.88;3.12;Male;No;Sun;Dinner;4;$26.88;$3.12
15.04;1.96;Male;No;Sun;Dinner;2;$15.04;$1.96
14.78;3.23;Male;No;Sun;Dinner;2;$14.78;$3.23
10.27;1.71;Male;No;Sun;Dinner;2;$10.27;$1.71
35.26;5.0;Female;No;Sun;Dinner;4;$35.26;$5.0
15.42;1.57;Male;No;Sun;Dinner;2;$15.42;$1.57
18.43;3.0;Male;No;Sun;Dinner;4;$18.43;$3.0
14.83;3.02;Female;No;Sun;Dinner;2;$14.83;$3.02
21.58;3.92;Male;No;Sun;Dinner;2;$21.58;$3.92
10.33;1.67;Female;No;Sun;Dinner;3;$10.33;$1.67
16.29;3.71;Male;No;Sun;Dinner;3;$16.29;$3.71
16.97;3.5;Female;No;Sun;Dinner;3;$16.97;$3.5
20.65;3.35;Male;No;Sat;Dinner;3;$20.65;$3.35
17.92;4.08;Male;No;Sat;Dinner;2;$17.92;$4.08
20.29;2.75;Female;No;Sat;Dinner;2;$20.29;$2.75
15.77;2.23;Female;No;Sat;Dinner;2;$15.77;$2.23
39.42;7.58;Male;No;Sat;Dinner;4;$39.42;$7.58
19.82;3.18;Male;No;Sat;Dinner;2;$19.82;$3.18
17.81;2.34;Male;No;Sat;Dinner;4;$17.81;$2.34
13.37;2.0;Male;No;Sat;Dinner;2;$13.37;$2.0
12.69;2.0;Male;No;Sat;Dinner;2;$12.69;$2.0
21.7;4.3;Male;No;Sat;Dinner;2;$21.7;$4.3
19.65;3.0;Female;No;Sat;Dinner;2;$19.65;$3.0
9.55;1.45;Male;No;Sat;Dinner;2;$9.55;$1.45
18.35;2.5;Male;No;Sat;Dinner;4;$18.35;$2.5
15.06;3.0;Female;No;Sat;Dinner;2;$15.06;$3.0
20.69;2.45;Female;No;Sat;Dinner;4;$20.69;$2.45
17.78;3.27;Male;No;Sat;Dinner;2;$17.78;$3.27
24.06;3.6;Male;No;Sat;Dinner;3;$24.06;$3.6
16.31;2.0;Male;No;Sat;Dinner;3;$16.31;$2.0
16.93;3.07;Female;No;Sat;Dinner;3;$16.93;$3.07
18.69;2.31;Male;No;Sat;Dinner;3;$18.69;$2.31
31.27;5.0;Male;No;Sat;Dinner;3;$31.27;$5.0
16.04;2.24;Male;No;Sat;Dinner;3;$16.04;$2.24
17.46;2.54;Male;No;Sun;Dinner;2;$17.46;$2.54
13.94;3.06;Male;No;Sun;Dinner;2;$13.94;$3.06
9.68;1.32;Male;No;Sun;Dinner;2;$9.68;$1.32
30.4;5.6;Male;No;Sun;Dinner;4;$30.4;$5.6
18.29;3.0;Male;No;Sun;Dinner;2;$18.29;$3.0
22.23;5.0;Male;No;Sun;Dinner;2;$22.23;$5.0
32.4;6.0;Male;No;Sun;Dinner;4;$32.4;$6.0
28.55;2.05;Male;No;Sun;Dinner;3;$28.55;$2.05
18.04;3.0;Male;No;Sun;Dinner;2;$18.04;$3.0
12.54;2.5;Male;No;Sun;Dinner;2;$12.54;$2.5
10.29;2.6;Female;No;Sun;Dinner;2;$10.29;$2.6
34.81;5.2;Female;No;Sun;Dinner;4;$34.81;$5.2
9.94;1.56;Male;No;Sun;Dinner;2;$9.94;$1.56
25.56;4.34;Male;No;Sun;Dinner;4;$25.56;$4.34
19.49;3.51;Male;No;Sun;Dinner;2;$19.49;$3.51
38.01;3.0;Male;Yes;Sat;Dinner;4;$38.01;$3.0
26.41;1.5;Female;No;Sat;Dinner;2;$26.41;$1.5
11.24;1.76;Male;Yes;Sat;Dinner;2;$11.24;$1.76
48.27;6.73;Male;No;Sat;Dinner;4;$48.27;$6.73
20.29;3.21;Male;Yes;Sat;Dinner;2;$20.29;$3.21
13.81;2.0;Male;Yes;Sat;Dinner;2;$13.81;$2.0
11.02;1.98;Male;Yes;Sat;Dinner;2;$11.02;$1.98
18.29;3.76;Male;Yes;Sat;Dinner;4;$18.29;$3.76
17.59;2.64;Male;No;Sat;Dinner;3;$17.59;$2.64
20.08;3.15;Male;No;Sat;Dinner;3;$20.08;$3.15
16.45;2.47;Female;No;Sat;Dinner;2;$16.45;$2.47
3.07;1.0;Female;Yes;Sat;Dinner;1;$3.07;$1.0
20.23;2.01;Male;No;Sat;Dinner;2;$20.23;$2.01
15.01;2.09;Male;Yes;Sat;Dinner;2;$15.01;$2.09
12.02;1.97;Male;No;Sat;Dinner;2;$12.02;$1.97
17.07;3.0;Female;No;Sat;Dinner;3;$17.07;$3.0
26.86;3.14;Female;Yes;Sat;Dinner;2;$26.86;$3.14
25.28;5.0;Female;Yes;Sat;Dinner;2;$25.28;$5.0
14.73;2.2;Female;No;Sat;Dinner;2;$14.73;$2.2
10.51;1.25;Male;No;Sat;Dinner;2;$10.51;$1.25
