total_bill;tip;sex;smoker;day;time;size
16.99;1.01;Female;No;Sun;Dinner;2.0
10.34;1.66;Male;No;Sun;Dinner;3.0
21.01;3.5;Male;No;Sun;Dinner;3.0
23.68;3.31;Male;No;Sun;Dinner;2.0
24.59;3.61;Female;No;Sun;Dinner;4.0
25.29;4.71;Male;No;Sun;Dinner;4.0
8.77;2;Male;No;Sun;Dinner;2.0
26.88;3.12;Male;No;Sun;Dinner;4.0
15.04;missing;Male;No;Sun;Dinner;2.0
14.78;3.23;Male;No;Sun;Dinner;2.0
missing;1.71;Male;No;Sun;Dinner;2.0
35.26;5;Female;No;Sun;Dinner;4.0
15.42;1.57;Male;No;Sun;Dinner;2.0
18.43;missing;Male;No;Sun;Dinner;4.0
missing;3.02;NaN;No;Sun;NaN;2.0
21.58;missing;Male;No;Sun;Dinner;2.0
10.33;1.67;Female;No;Sun;Dinner;3.0
16.29;3.71;Male;No;Sun;Dinner;3.0
missing;3.5;Female;No;Sun;Dinner;3.0
20.65;3.35;Male;No;Sat;Dinner;3.0
17.92;4.08;Male;No;Sat;Dinner;NaN
missing;2.75;Female;No;Sat;Dinner;2.0
15.77;2.23;Female;No;Sat;Dinner;2.0
missing;7.58;Male;No;Sat;Dinner;4.0
19.82;3.18;Male;No;Sat;Dinner;2.0
17.81;2.34;Male;No;Sat;Dinner;4.0
13.37;2;Male;No;Sat;Dinner;2.0
12.69;missing;Male;No;Sat;NaN;2.0
21.7;4.3;Male;No;Sat;Dinner;2.0
19.65;3;Female;No;Sat;Dinner;2.0
...;...;...;...;...;...;...
28.17;6.5;Female;Yes;NaN;Dinner;3.0
12.9;1.1;Female;Yes;Sat;Dinner;2.0
28.15;3;Male;Yes;Sat;NaN;5.0
11.59;1.5;Male;Yes;Sat;Dinner;2.0
7.74;1.44;Male;Yes;Sat;Dinner;2.0
30.14;3.09;Female;Yes;Sat;Dinner;4.0
12.16;2.2;Male;Yes;Fri;Lunch;NaN
13.42;3.48;Female;Yes;Fri;Lunch;2.0
missing;1.92;Male;Yes;Fri;Lunch;1.0
15.98;3;Female;No;Fri;Lunch;3.0
13.42;1.58;Male;Yes;Fri;Lunch;2.0
16.27;2.5;Female;Yes;Fri;Lunch;2.0
10.09;2;Female;Yes;Fri;Lunch;2.0
20.45;3;Male;No;Sat;Dinner;4.0
13.28;2.72;Male;No;Sat;Dinner;2.0
22.12;2.88;Female;Yes;Sat;Dinner;2.0
missing;2;Male;Yes;Sat;Dinner;4.0
15.69;3;Male;Yes;Sat;Dinner;3.0
11.61;3.39;Male;No;Sat;Dinner;2.0
10.77;1.47;Male;No;Sat;NaN;2.0
15.53;3;Male;Yes;Sat;Dinner;2.0
missing;missing;Male;No;Sat;Dinner;2.0
12.6;1;Male;Yes;Sat;Dinner;2.0
32.83;1.17;Male;Yes;Sat;Dinner;2.0
35.83;4.67;Female;No;Sat;Dinner;3.0
29.03;5.92;Male;No;Sat;Dinner;3.0
27.18;2;Female;Yes;Sat;Dinner;2.0
22.67;2;Male;Yes;Sat;Dinner;2.0
17.82;1.75;Male;No;Sat;Dinner;2.0
18.78;3;Female;No;Thur;Dinner;2.0
